id,name,profile,company,job_title,twitter_id,github_id,conference_id
101,高石 諒,かっこうはさきの息一疋手にセロから踏ん窓ました。,"GMO Pepabo, inc.",Software Engineer,r_takaishi,takaishi,2
102,三輪 昌光,だって少しだめたまして狩やだろ。,株式会社シー・エフ・ピー,Infrastructure Engineer,hoge,fuga,2
103,山岸 克明,下手うましんだはましだから手のいい気あたりのうちにはどうもいい気だろなて、何ばかり眼を合わられんだった。,acroCloudNative,Infrastructure Engineer,realDonaldTrump,donaldtrump,2
104,菅 友,さわりすぎみんなはゴーシュへ明るくたてこんどの野ねずみの手汁が云い第一おっかさん曲の司会をして来ないた。,airCloudNative,Marketing,twi1,github1,2
105,藤原 有,音は今度見つめて行くた。,arcCloudNative,Manager,twi2,github2,2
106,神谷 明博,ジャズも二わらいだいのようへなるてやっます。,artCloudNative,Infrastructure Engineer,twi3,github3,2
107,上村 智,血は糸楽長と君で教えるがしまいまし。,bitCloudNative,Software Engineer,twi4,github4,2
108,笠井 三男,子も子のしばらくとなって先生を川のようにしてあたりへ帰っでやっと晩をしてやるた。,bizCloudNative,Software Engineer,twi5,github5,2
109,山岸 雄樹,何だかやっとうちを扉を叩くだた。,boxCloudNative,Manager,twi6,github6,2
110,篠原 長一郎,ここらまだにかっこうから聞いてからだをぶっつけですます。,brainCloudNative,CEO,twi7,github7,2
111,川村 昭子,おかげがまげでしまし。,channelCloudNative,CTO,twi8,github8,2
112,大野 俊郎,「風車でなりだ。,cityCloudNative,Application Engineer,twi9,github9,2
113,福島 健児,虎、おれに楽長。,comCloudNative,Software Engineer,twi10,github10,2
114,奥村 秀司,なり。」,commoCloudNative,Infrastructure Engineer,twi11,github11,2
115,大川 文典,やつも今夜の限りのまた前のなかが云わでしまし。,conCloudNative,Infrastructure Engineer,twi12,github12,2
116,金田 友恵,虎はゴーシュでばかあかしにして扉にゴーシュをまわりでぱちぱち今日あるれだろなかが云いました。,craftCloudNative,Marketing,twi13,github13,2
117,藤田 初美,もうきょろきょろきはじめて、して済ましてっだてマッチにそして畑をぱたっと番目なっずます。,crossCloudNative,Manager,twi14,github14,2
118,奥村 真志,「ぐうぐうねむってしまいましたもらっ。,cyberCloudNative,Infrastructure Engineer,twi15,github15,2
119,小柳 たか子,リボンをついた。,daCloudNative,Software Engineer,twi16,github16,2
120,北島 友隆,くわえな。,dailyCloudNative,Software Engineer,twi17,github17,2
121,大石 禎二,誰はぼくをなんどに下げてまで云い助けも手早くことますてべ。」,deepCloudNative,Manager,twi18,github18,2
122,岩本 敬史,何は残念そうがひからかいトマトセロからかついだのです首の助けに置いで食うとたっできた。,diCloudNative,CEO,twi19,github19,2
123,新谷 憲広,小麦は座っでかっこうをやったまし。,digiCloudNative,CTO,twi20,github20,2
124,横井 兼典,何はがぶがぶセロは恐いんたらてぐうぐうねむってしまいましたもまた重くせました。,dipCloudNative,Application Engineer,twi21,github21,2
125,武田 芳伸,「途中の毎日の下を。,dreamCloudNative,Software Engineer,twi22,github22,2
126,前川 政年,なおし。」,dripCloudNative,Infrastructure Engineer,twi23,github23,2
