id,name,profile,company,job_title,twitter_id,github_id
1,高石 諒,かっこうはさきの息一疋手にセロから踏ん窓ました。,"GMO Pepabo, inc.",Software Engineer,r_takaishi,takaishi
2,三輪 昌光,だって少しだめたまして狩やだろ。,株式会社シー・エフ・ピー,Infrastructure Engineer,hoge,fuga
3,山岸 克明,下手うましんだはましだから手のいい気あたりのうちにはどうもいい気だろなて、何ばかり眼を合わられんだった。,acroCloudNative,Infrastructure Engineer,realDonaldTrump,donaldtrump
4,菅 友,さわりすぎみんなはゴーシュへ明るくたてこんどの野ねずみの手汁が云い第一おっかさん曲の司会をして来ないた。,airCloudNative,Marketing,twi1,github1
5,藤原 有,音は今度見つめて行くた。,arcCloudNative,Manager,twi2,github2
6,神谷 明博,ジャズも二わらいだいのようへなるてやっます。,artCloudNative,Infrastructure Engineer,twi3,github3
7,上村 智,血は糸楽長と君で教えるがしまいまし。,bitCloudNative,Software Engineer,twi4,github4
8,笠井 三男,子も子のしばらくとなって先生を川のようにしてあたりへ帰っでやっと晩をしてやるた。,bizCloudNative,Software Engineer,twi5,github5
9,山岸 雄樹,何だかやっとうちを扉を叩くだた。,boxCloudNative,Manager,twi6,github6
10,篠原 長一郎,ここらまだにかっこうから聞いてからだをぶっつけですます。,brainCloudNative,CEO,twi7,github7
11,川村 昭子,おかげがまげでしまし。,channelCloudNative,CTO,twi8,github8
12,大野 俊郎,「風車でなりだ。,cityCloudNative,Application Engineer,twi9,github9
13,福島 健児,虎、おれに楽長。,comCloudNative,Software Engineer,twi10,github10
14,奥村 秀司,なり。」,commoCloudNative,Infrastructure Engineer,twi11,github11
15,大川 文典,やつも今夜の限りのまた前のなかが云わでしまし。,conCloudNative,Infrastructure Engineer,twi12,github12
16,金田 友恵,虎はゴーシュでばかあかしにして扉にゴーシュをまわりでぱちぱち今日あるれだろなかが云いました。,craftCloudNative,Marketing,twi13,github13
17,藤田 初美,もうきょろきょろきはじめて、して済ましてっだてマッチにそして畑をぱたっと番目なっずます。,crossCloudNative,Manager,twi14,github14
18,奥村 真志,「ぐうぐうねむってしまいましたもらっ。,cyberCloudNative,Infrastructure Engineer,twi15,github15
19,小柳 たか子,リボンをついた。,daCloudNative,Software Engineer,twi16,github16
